[2025-07-24 22:53:33,779] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 22:58:02,780] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 22:59:19,940] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 23:04:54,810] logger.logger - INFO - WinSTT application starting...
[2025-07-24 23:04:55,058] logger.logger - INFO - Creating main window...
[2025-07-24 23:04:55,092] logger.logger - INFO - Main window created successfully
[2025-07-24 23:04:55,092] logger.logger - INFO - Showing window...
[2025-07-24 23:04:55,160] logger.logger - INFO - Window shown successfully
[2025-07-24 23:04:55,160] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 23:04:55,161] logger.logger - INFO - Starting main event loop...
[2025-07-24 23:11:14,286] logger.logger - INFO - Downloading ONNX model to E:\DL\Projects\typer\cache\onnx\silero_vad_16k.onnx...
[2025-07-24 23:11:22,360] logger.logger - INFO - File downloaded successfully: E:\DL\Projects\typer\cache\onnx\silero_vad_16k.onnx
[2025-07-24 23:17:46,050] logger.logger - INFO - WinSTT application starting...
[2025-07-24 23:17:46,292] logger.logger - INFO - Creating main window...
[2025-07-24 23:17:46,360] logger.logger - INFO - Main window created successfully
[2025-07-24 23:17:46,360] logger.logger - INFO - Showing window...
[2025-07-24 23:17:46,425] logger.logger - INFO - Window shown successfully
[2025-07-24 23:17:46,425] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 23:17:46,426] logger.logger - INFO - Starting main event loop...
[2025-07-24 23:23:55,816] logger.logger - INFO - WinSTT application starting...
[2025-07-24 23:23:56,055] logger.logger - INFO - Creating main window...
[2025-07-24 23:23:56,122] logger.logger - INFO - Main window created successfully
[2025-07-24 23:23:56,122] logger.logger - INFO - Showing window...
[2025-07-24 23:23:56,122] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 23:23:56,122] logger.logger - INFO - Starting main event loop...
[2025-07-24 23:27:57,745] logger.logger - INFO - WinSTT application starting...
[2025-07-24 23:27:58,007] logger.logger - INFO - Creating main window...
[2025-07-24 23:27:58,076] logger.logger - INFO - Main window created successfully
[2025-07-24 23:27:58,076] logger.logger - INFO - Showing window...
[2025-07-24 23:27:58,146] logger.logger - INFO - Window shown successfully
[2025-07-24 23:27:58,146] logger.logger - INFO - WinSTT application started successfully
[2025-07-24 23:27:58,146] logger.logger - INFO - Starting main event loop...
[2025-07-24 23:57:09,579] logger.logger - INFO - WinSTT application started successfully
