phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,alexa,0.45,0.2,6,none,true,2,0.6830521,0.3870153,82
alexa,alexa,0.45,0.2,6,gain,true,2,0.6830521,0.3870173,73
alexa,alexa,0.45,0.2,10,none,true,2,0.6830521,0.3870153,72
alexa,alexa,0.45,0.2,10,gain,true,2,0.6830521,0.3870173,66
alexa,alexa,0.5,0.2,6,none,true,2,0.6830521,0.3870153,72
alexa,alexa,0.5,0.2,6,gain,true,2,0.6830521,0.3870173,65
alexa,alexa,0.5,0.2,10,none,true,2,0.6830521,0.3870153,65
alexa,alexa,0.5,0.2,10,gain,true,2,0.6830521,0.3870173,70
alexa,alexa,0.6,0.2,6,none,true,2,0.6830521,0.3870153,74
alexa,alexa,0.6,0.2,6,gain,true,2,0.6830521,0.3870173,66
alexa,alexa,0.6,0.2,10,none,true,2,0.6830521,0.3870153,69
alexa,alexa,0.6,0.2,10,gain,true,2,0.6830521,0.3870173,69
alexa,computer,0.45,0.2,6,none,false,,,,166
alexa,computer,0.45,0.2,6,gain,false,,,,146
alexa,computer,0.45,0.2,10,none,false,,,,122
alexa,computer,0.45,0.2,10,gain,false,,,,131
alexa,computer,0.5,0.2,6,none,false,,,,137
alexa,computer,0.5,0.2,6,gain,false,,,,121
alexa,computer,0.5,0.2,10,none,false,,,,133
alexa,computer,0.5,0.2,10,gain,false,,,,130
alexa,computer,0.6,0.2,6,none,false,,,,123
alexa,computer,0.6,0.2,6,gain,false,,,,127
alexa,computer,0.6,0.2,10,none,false,,,,133
alexa,computer,0.6,0.2,10,gain,false,,,,129
alexa,hey_google,0.45,0.2,6,none,false,,,,123
alexa,hey_google,0.45,0.2,6,gain,false,,,,142
alexa,hey_google,0.45,0.2,10,none,false,,,,140
alexa,hey_google,0.45,0.2,10,gain,false,,,,177
alexa,hey_google,0.5,0.2,6,none,false,,,,145
alexa,hey_google,0.5,0.2,6,gain,false,,,,150
alexa,hey_google,0.5,0.2,10,none,false,,,,128
alexa,hey_google,0.5,0.2,10,gain,false,,,,125
alexa,hey_google,0.6,0.2,6,none,false,,,,126
alexa,hey_google,0.6,0.2,6,gain,false,,,,125
alexa,hey_google,0.6,0.2,10,none,false,,,,142
alexa,hey_google,0.6,0.2,10,gain,false,,,,134
alexa,hey_siri,0.45,0.2,6,none,false,,,,130
alexa,hey_siri,0.45,0.2,6,gain,false,,,,138
alexa,hey_siri,0.45,0.2,10,none,false,,,,128
alexa,hey_siri,0.45,0.2,10,gain,false,,,,131
alexa,hey_siri,0.5,0.2,6,none,false,,,,136
alexa,hey_siri,0.5,0.2,6,gain,false,,,,148
