phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,alexa,0.35,0.15,4,none,true,2,0.6830521,0.3870153,73
alexa,alexa,0.35,0.15,4,gain,true,2,0.6830521,0.3870173,74
alexa,alexa,0.35,0.15,4,bandpass,false,,,,136
alexa,alexa,0.35,0.15,4,gain_bandpass,false,,,,153
alexa,alexa,0.35,0.15,6,none,true,2,0.6830521,0.3870153,67
alexa,alexa,0.35,0.15,6,gain,true,2,0.6830521,0.3870173,67
alexa,alexa,0.35,0.15,6,bandpass,false,,,,145
alexa,alexa,0.35,0.15,6,gain_bandpass,false,,,,144
alexa,alexa,0.35,0.15,10,none,true,2,0.6830521,0.3870153,64
alexa,alexa,0.35,0.15,10,gain,true,2,0.6830521,0.3870173,64
alexa,alexa,0.35,0.15,10,bandpass,false,,,,138
alexa,alexa,0.35,0.15,10,gain_bandpass,false,,,,153
alexa,alexa,0.35,0.2,4,none,true,2,0.6830521,0.3870153,71
alexa,alexa,0.35,0.2,4,gain,true,2,0.6830521,0.3870173,67
alexa,alexa,0.35,0.2,4,bandpass,false,,,,156
alexa,alexa,0.35,0.2,4,gain_bandpass,false,,,,142
alexa,alexa,0.35,0.2,6,none,true,2,0.6830521,0.3870153,65
alexa,alexa,0.35,0.2,6,gain,true,2,0.6830521,0.3870173,65
alexa,alexa,0.35,0.2,6,bandpass,false,,,,132
alexa,alexa,0.35,0.2,6,gain_bandpass,false,,,,155
alexa,alexa,0.35,0.2,10,none,true,2,0.6830521,0.3870153,73
alexa,alexa,0.35,0.2,10,gain,true,2,0.6830521,0.3870173,70
alexa,alexa,0.35,0.2,10,bandpass,false,,,,162
alexa,alexa,0.35,0.2,10,gain_bandpass,false,,,,138
alexa,alexa,0.45,0.15,4,none,true,2,0.6830521,0.3870153,67
alexa,alexa,0.45,0.15,4,gain,true,2,0.6830521,0.3870173,72
alexa,alexa,0.45,0.15,4,bandpass,false,,,,166
alexa,alexa,0.45,0.15,4,gain_bandpass,false,,,,182
alexa,alexa,0.45,0.15,6,none,true,2,0.6830521,0.3870153,68
alexa,alexa,0.45,0.15,6,gain,true,2,0.6830521,0.3870173,68
alexa,alexa,0.45,0.15,6,bandpass,false,,,,153
alexa,alexa,0.45,0.15,6,gain_bandpass,false,,,,156
alexa,alexa,0.45,0.15,10,none,true,2,0.6830521,0.3870153,66
alexa,alexa,0.45,0.15,10,gain,true,2,0.6830521,0.3870173,72
alexa,alexa,0.45,0.15,10,bandpass,false,,,,149
alexa,alexa,0.45,0.15,10,gain_bandpass,false,,,,161
alexa,alexa,0.45,0.2,4,none,true,2,0.6830521,0.3870153,84
alexa,alexa,0.45,0.2,4,gain,true,2,0.6830521,0.3870173,67
alexa,alexa,0.45,0.2,4,bandpass,false,,,,145
alexa,alexa,0.45,0.2,4,gain_bandpass,false,,,,138
alexa,alexa,0.45,0.2,6,none,true,2,0.6830521,0.3870153,61
alexa,alexa,0.45,0.2,6,gain,true,2,0.6830521,0.3870173,64
alexa,alexa,0.45,0.2,6,bandpass,false,,,,139
alexa,alexa,0.45,0.2,6,gain_bandpass,false,,,,136
alexa,alexa,0.45,0.2,10,none,true,2,0.6830521,0.3870153,73
alexa,alexa,0.45,0.2,10,gain,true,2,0.6830521,0.3870173,75
alexa,alexa,0.45,0.2,10,bandpass,false,,,,147
alexa,alexa,0.45,0.2,10,gain_bandpass,false,,,,142
alexa,alexa,0.5,0.15,4,none,true,2,0.6830521,0.3870153,70
alexa,alexa,0.5,0.15,4,gain,true,2,0.6830521,0.3870173,63
alexa,alexa,0.5,0.15,4,bandpass,false,,,,146
alexa,alexa,0.5,0.15,4,gain_bandpass,false,,,,152
alexa,alexa,0.5,0.15,6,none,true,2,0.6830521,0.3870153,77
alexa,alexa,0.5,0.15,6,gain,true,2,0.6830521,0.3870173,73
alexa,alexa,0.5,0.15,6,bandpass,false,,,,141
alexa,alexa,0.5,0.15,6,gain_bandpass,false,,,,143
alexa,alexa,0.5,0.15,10,none,true,2,0.6830521,0.3870153,66
alexa,alexa,0.5,0.15,10,gain,true,2,0.6830521,0.3870173,65
alexa,alexa,0.5,0.15,10,bandpass,false,,,,138
alexa,alexa,0.5,0.15,10,gain_bandpass,false,,,,145
alexa,alexa,0.5,0.2,4,none,true,2,0.6830521,0.3870153,74
alexa,alexa,0.5,0.2,4,gain,true,2,0.6830521,0.3870173,65
alexa,alexa,0.5,0.2,4,bandpass,false,,,,159
alexa,alexa,0.5,0.2,4,gain_bandpass,false,,,,139
alexa,alexa,0.5,0.2,6,none,true,2,0.6830521,0.3870153,68
alexa,alexa,0.5,0.2,6,gain,true,2,0.6830521,0.3870173,77
alexa,alexa,0.5,0.2,6,bandpass,false,,,,139
alexa,alexa,0.5,0.2,6,gain_bandpass,false,,,,141
alexa,alexa,0.5,0.2,10,none,true,2,0.6830521,0.3870153,75
alexa,alexa,0.5,0.2,10,gain,true,2,0.6830521,0.3870173,66
alexa,alexa,0.5,0.2,10,bandpass,false,,,,145
alexa,alexa,0.5,0.2,10,gain_bandpass,false,,,,137
alexa,alexa,0.6,0.15,4,none,true,2,0.6830521,0.3870153,78
alexa,alexa,0.6,0.15,4,gain,true,2,0.6830521,0.3870173,67
alexa,alexa,0.6,0.15,4,bandpass,false,,,,152
alexa,alexa,0.6,0.15,4,gain_bandpass,false,,,,180
alexa,alexa,0.6,0.15,6,none,true,2,0.6830521,0.3870153,67
alexa,alexa,0.6,0.15,6,gain,true,2,0.6830521,0.3870173,75
alexa,alexa,0.6,0.15,6,bandpass,false,,,,144
