phrase,audio,threshold,averaged_threshold,min_scores,detected,hit_time_s,score,avg_score,run_ms
alexa,alexa,0.6,0.37,10,true,2,0.6830521,0.3870153,47
alexa,computer,0.6,0.37,10,false,,,,54
alexa,hey_google,0.6,0.37,10,false,,,,52
alexa,hey_siri,0.6,0.37,10,false,,,,61
alexa,hey_winstt,0.6,0.37,10,false,,,,78
alexa,jarvis,0.6,0.37,10,false,,,,71
alexa,ok_google,0.6,0.37,10,false,,,,65
computer,alexa,0.6,0.37,10,false,,,,73
computer,computer,0.6,0.37,10,false,,,,81
computer,hey_google,0.6,0.37,10,false,,,,64
computer,hey_siri,0.6,0.37,10,false,,,,82
computer,hey_winstt,0.6,0.37,10,false,,,,84
computer,jarvis,0.6,0.37,10,false,,,,83
computer,ok_google,0.6,0.37,10,false,,,,67
hey_winstt,alexa,0.6,0.37,10,false,,,,65
hey_winstt,computer,0.6,0.37,10,false,,,,73
hey_winstt,hey_google,0.6,0.37,10,false,,,,67
hey_winstt,hey_siri,0.6,0.37,10,false,,,,73
hey_winstt,hey_winstt,0.6,0.37,10,true,2,0.6710108,0.38374433,60
hey_winstt,jarvis,0.6,0.37,10,false,,,,70
hey_winstt,ok_google,0.6,0.37,10,false,,,,79
