audio,phrase,variant,threshold,boost,detected,hit_word,hit_time_s,build_ms,run_ms,rtf
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.100,3.000,false,,,497,40,0.01651
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.100,4.000,false,,,465,35,0.01430
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.100,6.000,false,,,445,35,0.01460
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.100,8.000,false,,,440,39,0.01621
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.120,3.000,false,,,508,39,0.01612
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.120,4.000,false,,,458,37,0.01516
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.120,6.000,false,,,470,35,0.01453
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.120,8.000,false,,,432,39,0.01599
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.160,3.000,false,,,471,37,0.01521
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.160,4.000,false,,,446,35,0.01433
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.160,6.000,false,,,458,37,0.01527
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.160,8.000,false,,,444,34,0.01406
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.200,3.000,false,,,470,36,0.01493
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.200,4.000,false,,,460,38,0.01554
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.200,6.000,false,,,435,37,0.01522
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.200,8.000,false,,,461,38,0.01551
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.240,3.000,false,,,460,37,0.01519
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.240,4.000,false,,,433,34,0.01409
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.240,6.000,false,,,449,35,0.01423
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Fp32,0.240,8.000,false,,,439,40,0.01628
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.100,3.000,false,,,634,41,0.01690
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.100,4.000,false,,,608,35,0.01451
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.100,6.000,false,,,618,35,0.01428
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.100,8.000,false,,,608,36,0.01466
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.120,3.000,false,,,616,36,0.01465
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.120,4.000,false,,,545,31,0.01298
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.120,6.000,false,,,586,35,0.01424
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.120,8.000,false,,,564,31,0.01260
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.160,3.000,false,,,554,32,0.01324
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.160,4.000,false,,,574,32,0.01324
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.160,6.000,false,,,538,34,0.01382
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.160,8.000,false,,,537,34,0.01413
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.200,3.000,false,,,574,34,0.01412
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.200,4.000,false,,,538,35,0.01442
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.200,6.000,false,,,538,31,0.01281
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.200,8.000,false,,,549,32,0.01299
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.240,3.000,false,,,548,31,0.01283
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.240,4.000,false,,,557,32,0.01327
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.240,6.000,false,,,547,32,0.01324
tools\bench\wakeword-fixtures\sapi\computer.wav,computer,Int8,0.240,8.000,false,,,569,35,0.01458
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.100,3.000,false,,,498,36,0.01459
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.100,4.000,false,,,443,38,0.01544
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.100,6.000,false,,,488,38,0.01531
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.100,8.000,false,,,464,35,0.01431
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.120,3.000,false,,,456,38,0.01557
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.120,4.000,false,,,437,40,0.01616
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.120,6.000,false,,,472,38,0.01544
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.120,8.000,false,,,446,37,0.01510
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.160,3.000,false,,,459,36,0.01466
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.160,4.000,false,,,433,36,0.01449
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.160,6.000,false,,,468,40,0.01609
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.160,8.000,false,,,448,35,0.01444
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.200,3.000,false,,,459,38,0.01542
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.200,4.000,false,,,438,35,0.01410
tools\bench\wakeword-fixtures\sapi\hey_siri.wav,hey siri,Fp32,0.200,6.000,false,,,453,37,0.01497
